prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
m-u_10_10_all_5_,10,10,30,0.005065202713012695,5,0.5,m,u,10,10,5,all
u-l_10_10_all_1_,10,10,16,0.003506898880004883,0,0.0,u,l,10,10,1,all
u-l_10_10_all_2_,10,10,10,0.0017549991607666016,0,0.0,u,l,10,10,2,all
u-l_10_10_all_3_,10,10,16,0.003901958465576172,0,0.0,u,l,10,10,3,all
u-l_10_10_all_4_,10,10,11,0.002074003219604492,0,0.0,u,l,10,10,4,all
u-l_10_10_all_5_,10,10,13,0.003946065902709961,0,0.0,u,l,10,10,5,all
u-m_10_10_all_1_,10,10,10,0.0019240379333496094,0,0.0,u,m,10,10,1,all
u-m_10_10_all_2_,10,10,10,0.002451181411743164,0,0.0,u,m,10,10,2,all
u-m_10_10_all_3_,10,10,19,0.005481243133544922,0,0.0,u,m,10,10,3,all
u-m_10_10_all_4_,10,10,10,0.0020940303802490234,0,0.0,u,m,10,10,4,all
u-m_10_10_all_5_,10,10,15,0.003823995590209961,0,0.0,u,m,10,10,5,all
u-u_10_10_all_1_,10,10,27,0.006759166717529297,4,0.4,u,u,10,10,1,all
u-u_10_10_all_2_,10,10,21,0.003916025161743164,0,0.0,u,u,10,10,2,all
u-u_10_10_all_3_,10,10,14,0.004318952560424805,0,0.0,u,u,10,10,3,all
u-u_10_10_all_4_,10,10,10,0.0018880367279052734,0,0.0,u,u,10,10,4,all
u-u_10_10_all_5_,10,10,15,0.0038912296295166016,0,0.0,u,u,10,10,5,all
l-l_50_50_lexmin_1_,50,50,81,0.1505138874053955,0,0.0,l,l,50,50,1,lexmin
